Accession number,CIAT code,DOI,Synonyms,Common names,Genus,Species,Subspecies,Variety,Biological status,CORE collection,Country,Department,County,Place,Date of collection (dd-mm-yyyy),Altitude (masl),Latitude (decimal),Longitude (decimal),Name,Institution,Country,Name,dd-mm-yyyy,Growth habit,Plant height (cm),Flowering,Shape of leaf-lobe central,Petiole color,Developed leaf color,Number of leaf lobes,Root color,Dry matter content (%),Total HCN content (ppm),Total sugars (%),Total amylose (%),Clarity (%),Temperature pasting (°C),Maximum viscosity,Breakdown (cP),Easy cooking (minutes),,,Null,  1  ,  2  ,  3  ,  4  ,Responsible
COL267,COL 267,10.18730/P7P2J,"CAU-360, COL 267",Piragua,Manihot,esculenta,,,Landrace,0,Colombia,Cauca,La Vega,A.Astudillo,03-07-1969,1870,2,-76.7333,,,,Victor Manuel Patino,03-07-1969,Bush,185,Absent,Lanceolate,,,,Cream,21.63,46,6.7,22.96,35.6,63.15,727,207,3.81,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL699,COL 699,10.18730/PBQSS,"COL 699, MET-366",Blanca Dulce,Manihot,esculenta,,,Landrace,0,Colombia,Meta,Puerto Lopez,Conuco Sta.Fe,19-10-1969,300,4.0667,-72.8667,,,,Pablo Emilio Daza,19-10-1969,Bush,225,Present,Elliptic-Lanceolate,,,,Yellow,30.59,58,5.69,20.84,36.8,64.25,948,386,3.59,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL712,COL 712,10.18730/P7P3K,"COL 712, VAL-402",Sata,Manihot,esculenta,,,Landrace,0,Colombia,Valle Del Cauca,Roldanillo,Maria De Pedroza,23-10-1969,1700,4.35,-76.1167,,,,Victor Manuel Patino,23-10-1969,Bush,,,,,,,,18.86,2181,11.63,20.73,32.6,67.75,802,112,3.88,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
COL1005,COL 1005,10.18730/P8FEG,"ANT-430, COL 1005",Palmire#A,Manihot,esculenta,,,Landrace,0,Colombia,Antioquia,Copa Cabana,Gran.Avic.Camber,13-12-1969,1390,6.15,-75.4667,,,,Alberto Angel,13-12-1969,Bush,210,Present,Lanceolate,,,,Cream,29.48,67,2.75,22.45,74.2,63.4,487,373,1.79,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL476,COL 476,10.18730/PC73$,"COL 476, TOL-362",Chirosa,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Purificacion,El Coto(M.Lemus),17-09-1969,440,3.7833,-74.8667,,,,Pablo Emilio Daza,17-09-1969,Bush,305,Absent,Lanceolate,,,,White,16.79,86,4.8,25.36,27.85,63.95,647,127,3.75,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,,Cesar Humberto Ocampo Nahar
COL460,COL 460,10.18730/PBEY1,"COL 460, TOL-351",Yaruma,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Lerida,El Diviso,17-09-1969,1320,4.7833,-74.85,,,,"Luis Lopez, Victor Manuel Patino",17-09-1969,Bush,155,Present,Lanceolate,,,,White,36.55,37,2.06,19.55,54.5,62.2,669,255,2.12,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL437A,COL 437A,10.18730/PC75U,"COL 437A, TOL-328",Caucana,Manihot,esculenta,,,Landrace,0,Colombia,Tolima,Lerida,,17-09-1969,1200,4.7833,-74.85,,,,"Luis Lopez, Victor Manuel Patino",,Bush,165,Present,Lanceolate,,,,White,37.9,81,1.04,20.55,31.3,66.85,647,194,2.77,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
COL409,COL 409,10.18730/P863D,"COL 409, HUI-368",Sonsa,Manihot,esculenta,,,Landrace,0,Colombia,Huila,Colombia,Jesus Herrera,14-08-1969,1650,3.3333,-74.7333,,,,Victor Manuel Patino,14-08-1969,Bush,265,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,91,96,,Cesar Humberto Ocampo Nahar
COL326,COL 326,10.18730/PD1BQ,"COL 326, NAR-353",Negra Audona,Manihot,esculenta,,,Landrace,0,Colombia,Narino,San Lorenzo,La Delicia,18-07-1969,1980,1.4667,-77.1833,,,,Pablo Emilio Daza,18-07-1969,Bush,305,Absent,Oblong-Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL314,COL 314,10.18730/PAND=,"COL 314, NAR-341",Chiquita,Manihot,esculenta,,,Landrace,0,Colombia,Narino,Buesaco,La Loma,17-07-1969,1900,1.35,-77.1167,,,,Pablo Emilio Daza,17-07-1969,Bush,,,,,,,,32.15,73,6.0,22.3,40.3,64.95,765,303,2.15,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,,Cesar Humberto Ocampo Nahar
COL285,COL 285,10.18730/PANG1,"COL 285, NAR-312",Panque#A,Manihot,esculenta,,,Landrace,0,Colombia,Narino,Ancuya,Las Delicias,13-07-1969,1080,1.2333,-77.4667,,,,Pablo Emilio Daza,13-07-1969,Bush,220,Present,Lanceolate,Green,Dark Green,Seven Lobes,White,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
PER588,PER 588,10.18730/PB1GF,7526,Shohuamuem,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Shiringamazu,Kms: 18,10-07-1986,380,-10.25,-75.0667,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Edward Carey, Margaret Jan Salick, Sandra Knapp",01-01-1987,Bush,260,Present,Linear-Pandurate,,,,White,37.57,150,3.0,20.86,52.6,64.65,1006,427,1.89,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
PER493,PER 493,10.18730/PB1KJ,7452,Ateshamam,Manihot,esculenta,,,Landrace,0,Peru,Pasco,Azulis,Kms: 1,03-07-1986,500,-10.4833,-75.0667,Ciatcas-0093,CENTRO REGIONAL DE INVESTIGACION AGRARIA CRIA,Peru,"Margaret Jan Salick, Sandra Knapp",01-11-1986,,350,Absent,Lanceolate,,,,White,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA96,BRA 96,10.18730/P8HTJ,"BGM 0230, BRA-003701",Salgueiro,Manihot,esculenta,,,Landrace,0,Brazil,Pernambuco,Cachoeirinha,,,536,-8.4833,-36.2167,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,13-10-1980,,245,Absent,Pandurate,,,,White,42.14,230,2.35,17.07,39.6,63.5,800,200,3.55,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
FLAXXX-17,FLA XXX- 17,10.18730/P9CCH,,,Manihot,esculenta,flabellifolia,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CAE410-7,CAE 410- 7,10.18730/PDYFY,,,Manihot,caerulescens,,,Wild,0,,Bahia,Jacobina,,24-05-1993,,-11.2,-40.5,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1993,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
DCH402-1,DCH 402- 1,10.18730/PDYH*,,,Manihot,dichotoma,,,Wild,0,,Bahia,Manoel Vitorino,,08-02-1995,,-14.1333,-40.2667,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,04-07-1995,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA430-1,FLA 430- 1,10.18730/P8811,"4002, BRA-085731",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Rondonia,Pimenta Bueno,,26-05-1992,,-11.5667,-61.2833,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA507-1,FLA 507- 1,10.18730/P91M6,"4218, BRA-103845",,Manihot,esculenta,flabellifolia,,Wild,0,Brazil,Tocantis,Araguaina,,23-05-1994,,-7.5333,-48.3333,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Salvio Do Carmo Xavier",12-12-1994,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER427-4,PER 427- 4,10.18730/P9WSR,"4144, BRA-103055",,Manihot,peruviana,,,Wild,0,Brazil,Rondonia,Guajara-Mirim,,11-06-1993,,-9.95,-65.3,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Merideth Bonierbale, Sang Ki Hahn",12-12-1993,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER427-8,PER 427- 8,10.18730/P8855,,,Manihot,peruviana,,,Wild,0,,Rondonia,Guajara-Mirim,,11-06-1993,,-9.95,-65.3,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1993,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA432-1C,FLA 432- 1C,10.18730/PD3PR,,,Manihot,esculenta,flabellifolia,,Wild,0,,Rondonia,Ariquemes,,27-05-1992,,-9.6667,-63.0833,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA432-1E,FLA 432- 1E,10.18730/PDYNU,,,Manihot,esculenta,flabellifolia,,Wild,0,,Rondonia,Ariquemes,,27-05-1992,,-9.6667,-63.0833,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
FLA434-2C,FLA 434- 2C,10.18730/PBH5=,,,Manihot,esculenta,flabellifolia,,Wild,0,,Rondonia,Ariquemes,,27-05-1992,,-9.35,-63.1333,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,,,12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER407-2A,PER 407- 2A,10.18730/PDYR2,"3990, BRA-085979",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,Pontes E Lacerda,,24-05-1992,,-15.3333,-59.2,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER407-2B,PER 407- 2B,10.18730/PAQKZ,"3990, BRA-085979",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,Pontes E Lacerda,,24-05-1992,,-15.3333,-59.2,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
PER407-2F,PER 407- 2F,10.18730/PBHC5,"3990, BRA-085979",,Manihot,peruviana,,,Wild,0,Brazil,Mato Grosso,Pontes E Lacerda,,24-05-1992,,-15.3333,-9.2,,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE RECURSOS GENETICOS E BIOTECNOLOGIA,Brazil,"Antonio C. Allem, Sang Ki Hahn",12-12-1992,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CTH409-1G,CTH 409- 1G,10.18730/P88BB,,,Manihot,carthaginensis,,,Wild,0,,Magdalena,,,,,11.15,-74.25,,,,,12-12-1994,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CTH415-5K,CTH 415- 5K,10.18730/PBHF8,,,Manihot,carthaginensis,,,Wild,0,,Magdalena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CTH415-5O,CTH 415- 5O,10.18730/P9XA4,,,Manihot,carthaginensis,,,Wild,0,,Magdalena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CTH417-2A,CTH 417- 2A,10.18730/P88CC,,,Manihot,carthaginensis,,,Wild,0,Colombia,Magdalena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA374,BRA 374,10.18730/P7J65,BRA-061417,Argentina,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0106,EMPRESA GOIANA DE PESQUISA AGROPECUARIA,Brazil,,01-09-1982,,245,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
BRA308,BRA 308,10.18730/P95KP,BRA-054984,Farinhao,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,265,Present,Elliptic-Lanceolate,,,,White,35.67,514,2.6,19.84,46.9,60.85,809,439,2.51,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
BRA310,BRA 310,10.18730/P95MQ,BRA-055140,Taina,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,200,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
BRA293,BRA 293,10.18730/P8BB~,"BGM 0549, BRA-012611",Amansa Burro,Manihot,esculenta,,,Landrace,0,Brazil,Pernambuco,Itapirema,,,,-7.7833,-34.9,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,270,Present,Lanceolate,Green,Dark Green,Seven Lobes,White,35.57,675,0.92,19.55,47.9,63.35,838,288,3.19,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
JACXXX-49,JAC XXX- 49,10.18730/PD6XG,,,Manihot,jacobinensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
BRA231,BRA 231,10.18730/PA0N0,"BGM 0437, BRA-003328",Matrincha,Manihot,esculenta,,,Landrace,0,Brazil,,,,,,,,Ciatcas-0821,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA-CENTRO NACIONAL DE PESQUISA DE MANDIOCA E FRUTICULTURA TROPICAL,Brazil,,01-08-1981,,180,Absent,Pandurate,Red With Little Green,Dark Green,Seven Lobes,White,32.99,53,1.79,16.26,35.8,63.4,864,255,4.2,1999,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,96,,Cesar Humberto Ocampo Nahar
FMTXXX-5,FMT XXX- 5,10.18730/P7JGF,,,Manihot,filamentosa,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CAEXXX-49,CAE XXX- 49,10.18730/PCDCD,,,Manihot,caerulescens,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
CTHXXX-180,CTH XXX- 180,10.18730/PCDDE,,,Manihot,carthaginensis,,,Wild,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cesar Humberto Ocampo Nahar
COL2365,COL 2365,10.18730/PCWRR,100,Punamaki Curripaco,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,Bellavista,04-03-1986,180,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,04-03-1986,,235,Absent,Lanceolate,,,,Yellow,38.37,899,2.92,21.86,56.5,65.6,698,291,2.22,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
COL2347,COL 2347,10.18730/PDRT$,082,Iaitiapotiki,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,La Ceiba,27-02-1986,220,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,27-02-1986,,260,,Elliptic-Lanceolate,,,,,22.66,1688,5.0,24.2,42.5,64.95,737,239,3.75,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,100,Cesar Humberto Ocampo Nahar
COL2331,COL 2331,10.18730/PDRX0,066,Junando Puinave,Manihot,esculenta,,,Landrace,1,Colombia,Guainia,Puerto Inirida,Yuri Ca#O Bocon,26-02-1986,220,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,26-02-1986,,,,,,,,,25.04,1018,5.4,22.74,52.4,62.35,666,248,2.97,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL2308,COL 2308,10.18730/P9PA2,043,Iodo Puinave,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,Yuri Ca#O Bocon,25-02-1986,220,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,25-02-1986,,280,Absent,Oblong-Lanceolate,,,,Yellow,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL2295,COL 2295,10.18730/P8VW7,030,Bitsurikae Guahibo,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,Chorro Bocon,20-02-1986,200,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,20-02-1986,,245,Absent,Straight or Linear,,,,Yellow,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL2288,COL 2288,10.18730/PC3BS,023,Makibisito Guahibo,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,Laguna Colorada,19-02-1986,200,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,19-02-1986,,,,Oblong-Lanceolate,Green With Little Red,Dark Green,Seven Lobes,,36.83,1549,3.1,20.1,58.8,64.85,592,224,3.23,2003,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL2289,COL 2289,10.18730/P82MD,024,Petsaibietnebaje G,Manihot,esculenta,,,Landrace,0,Colombia,Guainia,Puerto Inirida,Laguna Colorada,19-02-1986,200,3.8,-67.8333,Ciatcas-0053,UNIVERSIDAD NACIONAL DE COLOMBIA,Colombia,Mario Mejia Gutierrez,19-02-1986,,195,Absent,Lanceolate,,,,Cream,34.45,149,2.4,19.77,46.5,62.1,1117,411,1.99,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1768,COL 1768,10.18730/PDTCA,"CAQ-303, COL 1768",Varejona,Manihot,esculenta,,,Landrace,0,Colombia,Caqueta,Florencia,,23-06-1970,250,1.5667,-75.5667,,,,Victor Manuel Patino,23-06-1970,Bush,280,Absent,Elliptic-Lanceolate,,,,White,33.31,221,1.5,20.28,52.3,64.15,831,344,3.0,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1752,COL 1752,10.18730/P9QRB,"CES-348, COL 1752",Pb-2,Manihot,esculenta,,,Landrace,1,Colombia,Cesar,Valledupar,Esc. Vocacional,14-05-1970,1070,10.4167,-73.2333,,,,Victor Manuel Patino,14-05-1970,Bush,200,Present,Lanceolate,,,,White,40.83,56,1.9,17.85,39.75,65.8,622,172,2.97,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,91,,,Cesar Humberto Ocampo Nahar
COL1700,COL 1700,10.18730/PBCW9,CMC 179,,Manihot,esculenta,,,Landrace,0,Colombia,Amazonas,Leticia,Apost. Naval Arc,01-02-1969,,-4.1667,-69.95,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,10-04-1970,,245,Absent,Lanceolate,,,,White,30.98,59,4.7,24.27,30.0,67.4,806,238,3.13,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,96,100,Cesar Humberto Ocampo Nahar
COL1734,COL 1734,10.18730/P84C*,"COL 1734, GUA-331",Negra,Manihot,esculenta,,,Landrace,1,Colombia,Guajira,Uribia,,18-05-1970,10,11.6833,-72.2333,,,,Victor Manuel Patino,18-05-1970,Bush,185,Absent,Lanceolate,,,,Cream,27.13,274,6.7,23.69,59.7,65.5,674,238,2.9,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,86,,,100,Cesar Humberto Ocampo Nahar
COL1739,COL 1739,10.18730/P8XDK,"COL 1739, GUA-336",Chibolera,Manihot,esculenta,,,Landrace,0,Colombia,Guajira,Riohacha,,20-05-1970,5,11.5167,-72.85,,,,Victor Manuel Patino,20-05-1970,Bush,180,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
COL1740,COL 1740,10.18730/PAK0*,"COL 1740, GUA-337",,Manihot,esculenta,,,Landrace,0,Colombia,Guajira,Riohacha,,20-05-1970,5,11.5167,-72.85,,,,Victor Manuel Patino,20-05-1970,Bush,135,Present,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL1715,COL 1715,10.18730/PC515,"COL 1715, GUA-312",Pan De Azucar,Manihot,esculenta,,,Landrace,0,Colombia,Guajira,Fonseca,,16-05-1970,180,10.8167,-72.7833,,,,Victor Manuel Patino,16-05-1970,Bush,215,Present,Lanceolate,,,,White,33.91,56,2.5,19.01,59.3,66.85,615,283,1.96,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1719,COL 1719,10.18730/P8XEM,"COL 1719, GUA-316",Blanca Mona,Manihot,esculenta,,,Landrace,0,Colombia,Guajira,Fonseca,,16-05-1970,140,10.8167,-72.7833,,,,Victor Manuel Patino,16-05-1970,Bush,150,Absent,Elliptic-Lanceolate,,,,White,,,,,,,,,,,,,,91,,,Cesar Humberto Ocampo Nahar
COL1671,COL 1671,10.18730/PDTKH,CMC 150,"Peruana Barejona, Peruana Bejucona",Manihot,esculenta,,,Landrace,0,Colombia,Caqueta,Morelia,Hacienda Samaria,22-01-1969,,1.5167,-75.6833,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,Luis Lopez,10-04-1970,,,,,,,,,36.03,111,1.4,19.18,47.5,63.7,655,227,3.13,2000,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
COL1659,COL 1659,10.18730/P84E$,"COL 1659, PUT-327",Chancha,Manihot,esculenta,,,Landrace,0,Colombia,Putumayo,Puerto Limon,,17-04-1970,500,1.0167,-76.4833,,,,Victor Manuel Patino,17-04-1970,,170,Present,Lanceolate,,,,White,,,,,,,,,,,,,,91,,100,Cesar Humberto Ocampo Nahar
COL1564,COL 1564,10.18730/P84F=,CMC 137,"Tobacospecial 82-4, Tobagospecial 82-4",Manihot,esculenta,,,Landrace,0,Jamaica,,,,,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,,10-04-1970,,215,Present,Lanceolate,,,,White,33.92,689,2.9,23.69,40.7,65.5,739,316,2.51,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,96,,Cesar Humberto Ocampo Nahar
COL1545,COL 1545,10.18730/P8XNV,CMC 117,Caucana,Manihot,esculenta,,,Landrace,0,Colombia,Cundinamarca,Nacaima,La Florida,13-06-1968,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,Luis Lopez,10-04-1970,,100,Absent,Lanceolate,,,,Cream,,,,,,,,,,,,,86,,,100,Cesar Humberto Ocampo Nahar
COL1548,COL 1548,10.18730/P84GU,CMC 121,Patojita Colorada,Manihot,esculenta,,,Landrace,0,Colombia,Cauca,El Tablon,P.Arqueolog Inza,19-07-1968,1800,2.4833,-76.7167,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,Nelson Estrada,10-04-1970,,235,Present,Elliptic-Lanceolate,,,,Yellow,,,,,,,,,,,,,,,,100,Cesar Humberto Ocampo Nahar
COL1552,COL 1552,10.18730/PDTRP,,,Manihot,esculenta,,,Landrace,0,,,,,,,,,,INSTITUTO COLOMBIANO AGROPECUARIO,,,10-04-1970,,200,Present,Lanceolate,,,,White,,,,,,,,,,,,,,,96,100,Cesar Humberto Ocampo Nahar
COL1535,COL 1535,10.18730/P8XPW,CMC 107,,Manihot,esculenta,,,Landrace,1,Colombia,Cundinamarca,Melgar,Via Fusagasuga Kms: 1,15-06-1968,,4.2,-74.65,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,Luis Lopez,10-04-1970,,165,Present,Lanceolate,,,,White,37.53,52,3.7,20.04,53.2,65.9,907,408,2.44,2001,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,91,,,Cesar Humberto Ocampo Nahar
COL1518,COL 1518,10.18730/P9R7T,CMC 88A,,Manihot,esculenta,,,Landrace,0,Colombia,Norte De Santander,Cucuta,El Triunfo,,49,7.8167,-72.4667,,INSTITUTO COLOMBIANO AGROPECUARIO,Colombia,Luis Alberto Varon,10-04-1970,,180,Present,Lanceolate,,,,White,34.7,211,2.7,20.47,39.2,64.75,813,348,2.64,2002,"Teresa Sanchez, Hernan Ceballos, Edna Salcedo",,,,,100,Cesar Humberto Ocampo Nahar
